County,Organisation,Project Title,Amount Sought,Organisation Type,Sport Type
Cork,Donoughmore Community Centre Ltd,Refurbishment of Sports Complex / Pitch machinery,"€94,187",Community Group,Multi-sport
Cork,Donoughmore Hurling & Football Club,Pitch drainage and surface improvement.,"€19,467",Sports Club,Gaelic Games
Cork,Douglas Boxing Club,Upgrade of Boxing Gym Facilities,"€20,800",Sports Club,Boxing
Cork,Douglas Gymnastics Club,Douglas Gymnastics Club - New Equipment 2017,"€22,993",Sports Club,Gymnastics
Cork,Douglas Hurling & Football Club,Development of New Land into a Playing Pitch,"€87,585",Sports Club,Gaelic Games
Cork,Douglas Lawn Tennis Club,Douglas Tennis Club: 6 x Courts Resurface,"€90,946",Sports Club,Tennis
Cork,Dripsey GAA Club,Equipment only grant Application,"€19,528",Sports Club,Gaelic Games
Cork,Dromahane Community Park Group,Dromahane Community Park Walk and Running Track,"€150,000",Community Group,Community Games
Cork,Dromahane Tennis Club,Rejuvenation/drainage of courtsPurchase shed,"€9,895",Sports Club,Tennis
Cork,Dromtarriffe GAA Club,Pitch Drainage & Hurling Wall,"€114,157",Sports Club,Gaelic Games
Cork,Dungourney GAA Club,Gymnasium & Associated Works,"€147,000",Sports Club,Gaelic Games
Cork,Dunmanway Boxing Club,Increasing Capacity of Dunmanway Boxing Club,"€22,488",Sports Club,Boxing
Cork,Dunmanway Community Sports Hall Ltd,Urgent roof repairs.,"€16,543",Community Group,Multi-sport
Cork,DUNMANWAY RUGBY FOOOTBALL CLUB,Dunmanway Rugby Club Building works 2017,"€34,265",Sports Club,Rugby
Cork,Eire Og Hurling & Football Club,PITCH MAINTENANCE EQUIPMENT,"€7,958",Sports Club,Gaelic Games
Cork,Erins Own GAA Club,Drainage of main pitch,"€114,473",Sports Club,Gaelic Games
Cork,ESB Pitch and Putt Club,Upgrading of clubhouse and pitch and putt course,"€68,363",Sports Club,Pitch and Putt
Cork,Everton Football Club,Purchase grass cutting equipment.,"€18,000",Sports Club,Soccer
Cork,Eyeries Community Development Ltd,purchase of ride on mower,"€3,704",Community Group,Gaelic Football
Cork,fanahan Mcsweeney Athletic Club,Sports equipment for Fanahan McSweeney AC.,"€4,000",Sports Club,Athletics
Cork,Farranree Taekwondo Club,Gym equipment,"€4,117",Sports Club,Taekwondo
Cork,Fermoy Association Football Club,Carrig Park Floodlighting Development,"€71,005",Sports Club,Soccer
Cork,Fermoy golf Club,Machinery / Buggy Investment,"€70,000",Sports Club,Golf
Cork,Fermoy Rowing Club,Upgrade of current aging fleet of boats.,"€116,619",Sports Club,Rowing
Cork,Fr Mathews Wheelchair Basketball Club,Fr. Mathews Wheelchair Basketball Club,"€14,150",Sports Club,Basketball
Cork,Fr. Matthews Basketball Club,Equipment for Fr Matthews Basketball Club,"€131,070",Sports Club,Basketball
Cork,Freemount Community Development,"Refurbishment of Sports Hall, New Sports Equipment","€36,000",Community Group,Multi-sport
Cork,Freemount GAA Club,"Gym equipment, pitch mower and juvenile goalposts","€24,730",Sports Club,Hurling
Cork,Gabriel Rangers GAA Club,New Clubhouse,"€150,000",Sports Club,Gaelic Games
Cork,Glandore Harbour Yacht Club,New clubhouse roof & canopy over adjacent yard,"€30,000",Sports Club,Sailing
Cork,"Glanmire & District Salmon & Trout Anglers
Association",Special purpose wheelchair accessible angling boat,"€19,127",Sports Club,Angling/Fishing
Cork,Glanworth National School,Tennis courts & Multi Use Games area,"€142,500",School (primary or second level),Multi-sport
Cork,Gleann An Phreacan Teoranta,Refurbish Glenville Handball/Squash Facility,"€80,853",Community Group,Handball
Cork,Glen Boxing Club,Replace old equipment,"€18,750",Sports Club,Boxing
Cork,Glen Rovers Hurling Club,Security fencing & pitch surface upgrade,"€96,563",Sports Club,Gaelic Games
Cork,Glengarriff Community Cultural & Arts CTR.,Re roofing development to Glengarriff Hall,"€111,792",Community Group,Multi-sport
Cork,Glengarriff Sportsfield Committee,Develop a 2.5m wide walking / jogging track.,"€65,360",Community Group,Gaelic Games
Cork,Grenagh GAA Club,Build Dressing Rooms at Grenaghs only GAA grounds,"€150,000",Sports Club,Hurling
Cork,Grenagh Parish Field Ltd,Hurling/Handball/Practice Wall,"€24,000",Community Group,Multi-sport
Cork,Highfield RFC,Multipurpose fitness training room (Gym).,"€116,451",Sports Club,Rugby
Cork,Ilen Rovers GAA Club,Drainage and Surface works to pitch in Rath,"€100,000",Sports Club,Gaelic Games
Cork,"Inc Church of Ireland Cork Young Mens Assoc
Sports Club",Repair/Replacement of playing surfaces & surrounds,"€68,611",Sports Centre,Multi-sport
Cork,Inch National School,Slí na Slainte;Inch Community Initiative,"€29,323",School (primary or second level),Athletics
Cork,Innishvilla AFC,Installation of synthetic pitch at Innishvilla AFC,"€150,000",Sports Club,Soccer
Cork,Irish Wheelchair Association-Sport,Wheelchair Rugby- Munster wheelchair rugby,"€25,000",National Governing Body of Sport,Wheelchair Sport
Cork,Irish Wheelchair Association-Sport,Wheelchair sports - Rebel Wheelers,"€25,000",National Governing Body of Sport,Wheelchair Sport
Cork,John A.Wood Limited Sports & Social Club,Full sized floodlit All Weather Soccer pitch,"€150,000",Sports Club,Multi-sport
Cork,Kanturk AFC Limited,Development of Practice Area and Juvenile Pitch.,"€35,000",Sports Club,Soccer
Cork,Kanturk Boxing Club,New boxing club in Kanturk,"€9,499",Sports Club,Boxing
Cork,Kanturk GAA Club,Main Pitch Drainage,"€108,000",Sports Club,Gaelic Games
Cork,Kanturk RFC,Kanturk RFC Floodlights,"€92,115",Sports Club,Rugby
Cork,Kanturk Tennis Club,Resurfacing of tennis courts and new net posts,"€25,000",Sports Club,Tennis
Cork,Kilbarry Salmon & Trout Anglers Association,Angling equipment (Boats) Kilbarry Fishery,"€6,880",Sports Club,Angling/Fishing
Cork,Kilbrin Community Council,Roofing of Sports Hall,"€37,525",Community Group,Squash
Cork,Kilbrin GAA Club,"Astro Turf, Hurling Wall & upgrade of facilities","€132,140",Sports Club,Gaelic Games
Cork,Kilcrohane Development Association,Track and Exercise Equipment at the pitch.,"€11,697",Community Group,Multi-sport
Cork,Kilcully Campsite,Installation of Shower Facilities,"€9,500",Scout Troop,Multi-sport
Cork,Kildorrery GAA Club,Kildorrery GAA Equipment and refurbishment Grant,"€100,000",Sports Club,Gaelic Games
Cork,Killeagh GAA,Security Rail and Mesh Infill,"€34,033",Sports Club,Gaelic Games
Cork,Kilworth Celtic F.C Ltd,Construction of Clubhouse,"€150,000",Sports Club,Soccer
Cork,Kinsale Community School,Kinsale Community Sports Ground Floodlighting,"€117,164",School (primary or second level),Multi-sport
Cork,Kinsale GAA Club,Extension & Alterations to existing Clubhouse,"€139,375",Sports Club,Gaelic Games
Cork,Kinsale Yacht Club Company Ltd,Rigid Inflatable boat (RIB) for training & safety,"€12,500",Sports Club,Sailing
Cork,Knocknagree GAA,Gym Equipment,"€12,928",Sports Club,Gaelic Games
Cork,KRD Community Association,Sáile Sports and Community Centre,"€105,227",Community Group,Multi-sport
Cork,Lee Rowing Club,Rowing Boats and Club Refurbishment,"€105,563",Sports Club,Rowing
Cork,Lee Valley Rowing Club,rowing boats and oars,"€25,000",Sports Club,Rowing
Cork,Leeds AFC,Clubhouse Extension & Floodlighting,"€144,560",Sports Club,Soccer
Cork,Leevale Athletic Club,Leevale AC - High Performance Centre,"€150,000",Sports Club,Athletics
Cork,Lehanmore Co-operative Society,"Climbing wall,indoor games area","€71,000",Community Group,Community Games
Cork,Liscarroll Handball Club,Liscarroll Handball Club – Development 2017,"€68,920",Sports Club,Handball
Cork,Lisgoold GAA Club,Lisgoold GAA Club-Astroturf Pitch+Pitch Drainage,"€102,640",Sports Club,Gaelic Games
Cork,Little Island Scout Group,Kayaking and Hill walking advancement,"€14,000",Scout Troop,Hillwalking
Cork,Lombardstown Tennis Club,Club House for existing courts,"€51,480",Community Group,Tennis
Cork,Lyre Rovers Soccer Club,Lyre Rovers F.C. Pitch Development,"€135,000",Sports Club,Soccer
Cork,Macroom Golf Club,Purchase of a mower,"€25,584",Sports Club,Golf
Cork,Mallow Basketball Club,Updating of Existing Basketball Boards,"€2,480",Sports Club,Basketball
Cork,Mallow GAA Club,Proposed Pitch Drainage Works to 4 no Pitches,"€121,860",Sports Club,Gaelic Games
Cork,"Mallow Golf Club (incorporating Mallow Tennis
Club)",Mallow Golf Club essential infrastructure works,"€147,397",Sports Club,Golf
Cork,Mallow RFC,Mallow RFC Gym/Sports Hall Refurbishment,"€50,959",Sports Club,Rugby
Cork,Mallow Search and Rescue,Upgrade of boat and search & rescue equipment,"€97,900",Community Group,Multi-sport
Cork,Mallow Triathlon Club,Mallow Tri Club Training & Events Equipment,"€4,377",Sports Club,Triathlon
Cork,Mallow United AFC,Level Pitch,"€25,000",Sports Club,Soccer
Cork,Mayfield Hurling & Football Club,Mayfield GAA Club Floodlighting Project,"€137,753",Sports Club,Gaelic Games
Cork,Mayfield United AFC,Mayfield United AFC Facilities Upgrade Works,"€132,667",Sports Club,Soccer
Cork,Meelin GAA Club,Meelin GAA Club-Pitch Drainage/Artificial,"€26,550",Sports Club,Gaelic Games
Cork,"Midleton Community & Recreational Center
Development Company Ltdg",Replacement of existing sports hall floor,"€71,033",Community Group,Basketball
Cork,Milford GAA Club,Floodlit Synthetic Area to include existing wall,"€92,000",Sports Club,Hurling
Cork,Mitchelstown Community Centre Ltd,Mitchelstown Community Centre CLG,"€100,000",Community Group,Multi-sport
Cork,Mitchelstown GAA,New Floodlights_To Main Pitch & Training Area,"€139,000",Sports Club,Gaelic Football
Cork,Mitchelstown Lawn Tennis Club,Development Plan Phase 1 - External Facilities,"€63,427",Sports Club,Tennis
Cork,Monkstown Bay Sailing Club,MBSC changing rooms renovation & engine upgrade,"€20,000",Sports Club,Sailing
Cork,Monkstown Golf Club,Purchase of Machinery,"€76,186",Sports Club,Golf
Cork,Monkstown Tennis Club,Court and lights upgrade,"€115,721",Sports Club,Tennis
Cork,"MourneAbbey Residents Trust Community
Council",Upgrading of Pitch in Mourneabbey Sports Complex,"€9,862",Community Group,Multi-sport
Cork,Muintir Bhaire GAA Club,"Dressing Rooms, Showers & Toilets","€104,741",Sports Club,Gaelic Games
Cork,MUNSTER AGRICULTURAL SOCIETY CLG,Mobile Administration facilities for the venue.,"€60,180",Sports Centre,Equestrian Sports
Cork,Munster Regional Trout Angling Council,"ANGLING TRAINING AND SAFETY EQUIPMENT
PURCHASE","€5,000",Special Interest Group,Angling/Fishing
Cork,Myross Rowing Club Ltd,Boat Shed,"€22,798",Sports Club,Rowing
Cork,Na Piarsaigh H&F Club,Sports Equipment,"€47,659",Sports Club,Gaelic Games
Cork,Naomh Muire C.L.G. (St. Mary's GAA),St. Mary's GAA Hurling Wall,"€20,000",Sports Club,Gaelic Games
Cork,Naomhoga Chorcai Cork Curragh Club,Purchase a trailer to transport boats,"€4,869",Sports Club,Rowing
Cork,Nemo Rangers Hurling & Football Club,Redevelopment of floodlit natural grass pitch,"€85,000",Sports Club,Gaelic Games
Cork,Neptune Basketball Club,Neptune Stadium roof repairs,"€169,179",Sports Club,Basketball
Cork,Newcestown Hurling and Football Club,All weather Training Area & Hurling Wall,"€80,000",Sports Club,Gaelic Games
Cork,Newmarket GAA Club,Multi Sports Playing area,"€41,632",Sports Club,Gaelic Games
Cork,O'Donovan Rossa GAA Club,Natural pitch development,"€134,874",Sports Club,Gaelic Football
Cork,Olympic Karate Club,Roof repairs & replacement at Olympic Karate Club,"€65,701",Sports Club,Martial Arts
Cork,Passage United Sports & Social Club Ltd,Purchase of Ride-on Lawnmower,"€2,690",Sports Club,Soccer
Cork,Pearse Celtic FC,Providing the use of Defibrillators.,"€2,160",Sports Club,Soccer
Cork,Phoenix Kayak Club,Safety Equipment and Training Gear,"€10,000",Sports Club,Canoeing / Kayaking
Cork,Rathcoole Rovers Football Club,Rathcoole Rovers Pitch Improvements,"€15,000",Sports Club,Soccer
Cork,Rathcormac Community Council,Rathcormac Walking/Jogging Track,"€83,250",Community Group,Multi-sport
Cork,Rathluirc GAA Club,Levelling of pitch & new drainage system,"€90,503",Sports Club,Hurling
Cork,Ringmahon Rangers AFC,Ringmahon Rangers Pitch & Grounds Upgrade Works,"€139,000",Sports Club,Soccer
Cork,River Valley Clay Target Club,Equipment for the betterment of clay target sports,"€70,492",Sports Club,Clay Pigeon Shooting
Cork,Rockchapel Community Centre,Install Heating System,"€12,033",Community Group,Multi-sport
Cork,Rocklodge Pitch & Putt Club,New Equipment Shed,"€35,000",Sports Club,Pitch and Putt
Cork,Rockmount Football Club,Refurbishment of Clubhouse/ Purchase of new Mower,"€54,928",Sports Club,Soccer
Cork,Rosscarbery Rowing Club,Purchase of double scull boat and oars,"€10,637",Sports Club,Rowing
Cork,Rowing Ireland,Floating Launch House & Pontoon,"€189,405",National Governing Body of Sport,Rowing
Cork,Rowing Ireland,Olympic Boats and Equipment,"€188,687",National Governing Body of Sport,Rowing
Cork,Rowing Ireland,Racing Course and Sports Equipment,"€186,835",National Governing Body of Sport,Rowing
Cork,Royal Cork Yacht Club,Support Craft for teaching water sports,"€22,893",Sports Club,Sailing
Cork,Rushbrooke Lawn Tennis & Croquet Club,Rushbrooke Tennis Club - Court Improvement Works,"€121,685",Sports Club,Tennis
Cork,Rushbrooke Rowing Club,"New one design yawl boat, rudder and oars","€10,800",Sports Club,Rowing
Cork,Rylane Boxing Club,Replacing damaged and old equipment,"€15,798",Sports Club,Boxing
Cork,Sarsfields Hurling Club,Resurfacing and Fence Repairs of Astro Turf Pitch,"€149,115",Sports Club,Gaelic Games
Cork,Schull Harbour sailing Club Ltd,SHSC RIB - Dinghy Sailing & Cruiser Crewing,"€22,000",Sports Club,Sailing
Cork,Shandon Boat Club,"Boats, oars and rowing machines for adult rowing","€51,000",Sports Club,Rowing
Cork,Skibbereen & West Carbery Golf Club,Practice Facilities and Permanent Toilets,"€21,117",Sports Club,Golf
Cork,Skibbereen Dynamos FC Ltd,Pitch Development & Floodlight Infrastructure Work,"€110,000",Sports Club,Soccer
Cork,Skibbereen RFC,Skibbereen RFC youth and girls project,"€98,616",Sports Club,Rugby
Cork,Skibbereen Rowing Club,"Upgrade Rowing Boat Fleet, Oars and Equipment","€150,000",Sports Club,Rowing
Cork,Skibbereen Sports Centre,Gymnastic & Fitness equipment,"€33,000",Community Group,Basketball
Cork,St Annes Pitch and Putt Club,New Course Machinery Plus Bathroom Improvements,"€24,140",Sports Club,Pitch and Putt
Cork,St Colmans College,Upgrade and refurbish existing Handball Alleys,"€90,000",School (primary or second level),Hurling
Cork,St Colums Camogie Club,Sports Equipment,"€4,920",Sports Club,Camogie
Cork,St Finbarrs Hurling & Football Club,"Upgrading gym, hurling alley and boundary fence","€150,000",Sports Club,Gaelic Games
Cork,St Johns GAA Club,Addition of a Lawnmower for St. Johns GAA club,"€12,400",Sports Club,Gaelic Football
Cork,St Mary's AFC,Mower/ Security Fencing/ Goal posts/ Ball Stops,"€44,582",Sports Club,Soccer
Cork,St Michael's GFC,Purchase of a new lawnmower to maintain pitches,"€12,350",Sports Club,Gaelic Football
Cork,St Oliver Plunketts GAA Club,Public Amenity Pathway with Lighting,"€60,785",Sports Club,Gaelic Games
Cork,SUNDAY'S WELL RUGBY FOOTBALL CLUB,Installation of flood lighting for pitch,"€125,600",Sports Club,Rugby
Cork,Sundays Well Swimming Club,Competition starting blocks,"€24,999",Sports Club,Swimming
Cork,Temple United FC,"LAWN MOWER & STORAGE CONTAINER FOR
LAWNMOWER","€8,400",Sports Club,Soccer
Cork,The Glen Resource & Sports Centre,Replace Rebound Boards with Galvanised Mesh,"€11,000",Sports Centre,Soccer
Cork,Togher Athletic Club,Non Personal Sports Equipment,"€23,627",Sports Club,Athletics
Cork,Togher Boxing Club,Provision of gym and boxing equipment & heaters,"€16,453",Sports Club,Boxing
Cork,Togher Community Assocaition Limited,Construction of Lawn Bowls Pavillion,"€57,695",Community Group,Multi-sport
Cork,Tramore Athletic Football Club,Install Astro Turf at Tramore Athletic FC Grounds,"€149,950",Sports Club,Soccer
Cork,Uibh Laoire GAA,Iveleary Training Pitch Development & Buy a Mower,"€68,859",Sports Club,Gaelic Games
Cork,"Upper Glanmire Community Association
Limited",Upper Glanmire Community Association Ltd,"€107,661",Community Group,Multi-sport
Cork,Valley Rovers GAA Club,Sand based natural grass sports pitch & equipment,"€135,944",Sports Club,Gaelic Games
Cork,Weightlifting Ireland,Weightlifting Ireland Equipment Application,"€46,471",National Governing Body of Sport,Weightlifting
Cork,"Whitechurch & Waterloo Community
Association Ltd",Purchase a tractor and mower,"€26,750",Community Group,Multi-sport
Cork,Whitechurch GAA Club,Pitch Upgrade and Sanding,"€91,150",Sports Club,Gaelic Games
Cork,Whitegate Yawl Rowing & Swimming Club,Purchase of Training Equipment,"€5,000",Sports Club,Rowing
Cork,Wilton United AFC,Wilton United FC. Ground Development,"€18,872",Sports Club,Soccer
Cork,Youghal Athletic Club,Phase One Tower Park Development,"€25,000",Sports Club,Athletics
Cork,Youghal Cycling Club,Develop Junior/Youth Section in our club,"€4,880",Sports Club,Cycling
Cork,Youghal Lawn Tennis Club Ltd,"Floodlighting, carpet rejuvenation & equipment","€12,175",Sports Club,Tennis
Cork,Youghal RFC,Application for funding for gym equipment.,"€19,844",Sports Club,Rugby
